Word,Cost,Clicks,Impressions,Conversions,Top Containing Queries
gemini,€34.06,21,227,0.00,"(gemini enterprise, gemini business)"
enterprise,€34.06,21,226,0.00,(gemini enterprise)
ai,€11.10,7,79,0.00,"(buffer ai, grow ai, nice ai)"
community,€8.27,4,42,0.00,"(community manager, community platform, community management)"
social,€2.66,2,20,0.00,"(social media manager ai, social media ai agent, ai agent social media)"
ecosystem,€0.45,1,17,0.00,"(on passive ecosystem, onpassive ecosystem, oes onpassive ecosystem)"
onpassive,€0.45,1,17,0.00,"(oes onpassive, onpassive ecosystem, oes onpassive con)"
platform,€6.55,1,16,0.00,"(community platform, ai community platform, online community platform)"
social media,€2.66,2,16,0.00,"(social media manager ai, social media ai agent, ai agent social media)"
manager,€0.83,1,14,0.00,"(community manager, social media manager ai, community manager ia)"
for,€1.16,1,13,0.00,"(ai tools for business communication, platform for community engagement, social media platform for ai)"
oes onpassive,€0.45,1,12,0.00,"(oes onpassive, oes onpassive con, oes onpassive ecosystem)"
passive ecosystem,€0.00,0,11,0.00,(on passive ecosystem)
on,€0.00,0,11,0.00,(on passive ecosystem)
buffer,€0.00,0,10,0.00,(buffer ai)
online community,€0.59,1,9,0.00,"(online community platforms, online community, online community platform)"
ai agent,€0.00,0,8,0.00,"(social media ai agent, ai agent social media, ai agent for social media)"
management,€0.00,0,7,0.00,"(community management, best ai tools for social media management, community management dashboard)"
community platforms,€0.59,1,6,0.00,"(online community platforms, community platforms, free community platforms)"
moltbook,€0.34,1,5,0.00,"(moltbook, ai agents moltbook, moltbook ai agent)"
twitter,€0.45,1,5,0.00,"(twitter followers free 1000, twitter mass dm tool, bot follow twitter)"
grow,€0.00,0,5,0.00,(grow ai)
agents,€0.00,0,5,0.00,"(a social network for ai agents, a social network for al agents, ai agents moltbook)"
com,€0.55,1,5,0.00,"(trickle com, genspark com)"
app,€0.00,0,4,0.00,"(community app, community based app)"
google,€0.00,0,4,0.00,"(google community manager, telegram bot google apps script)"
tools for,€1.16,1,4,0.00,"(ai tools for business communication, best ai tools for social media management)"
free,€0.45,1,4,0.00,"(twitter followers free 1000, free community platforms, free online community platforms)"
business,€1.16,1,4,0.00,"(ai tools for business communication, gemini business)"
nice,€0.00,0,4,0.00,(nice ai)
con,€0.00,0,4,0.00,(oes onpassive con)
communication,€3.13,2,4,0.00,"(ai tools for business communication, ai communication)"
bot,€0.00,0,4,0.00,"(telegram bot google apps script, bot follow twitter, messenger bot)"
social network,€0.00,0,4,0.00,"(a social network for ai agents, a social network for al agents, social network ai agent)"
trickle,€0.55,1,4,0.00,(trickle com)
software,€0.00,0,3,0.00,(ai software)
ia,€0.83,1,3,0.00,"(community manager ia, ia de redes sociales)"
de,€0.00,0,3,0.00,"(plataforma de comunidades, ia de redes sociales)"
engagement,€0.00,0,3,0.00,"(platform for community engagement, engagement ai)"
automation,€2.66,2,3,0.00,"(youtube automation, ai social media automation)"
tool,€0.00,0,3,0.00,"(twitter mass dm tool, accenture ai tool)"
discord,€0.00,0,3,0.00,"(discord alternatives, self hosted discord alternative)"
krater,€0.00,0,2,0.00,(krater ai)
comunidades,€0.00,0,2,0.00,(plataforma de comunidades)
